program_name,map_name,field_name,validation_rule,rule_number,_id
AP00S00,,BISMSGO, IF WS-FORMATTED-DOL IS NUMERIC AND CCP01OCR <br> WS-FORMATTED-CENTS IS NUMERIC AND CCP01OCR <br> WS-FORMATTED-DECIMAL = '.' CCP01OCR  <br>  MOVE WS-FORMATTED-DOL TO WS-UNFORMATTED-DOL CCP01OCR  <br>  MOVE WS-FORMATTED-CENTS TO WS-UNFORMATTED-CENTS CCP01OCR  <br>   MOVE WS-UNFORMATTED-AMOUNT TO WS-CLAIM-AMOUNT CCP01OCR  <br>   ELSE CCP01OCR  <br>   MOVE 07 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO AMOUNTL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   ELSE CCP01OCR  <br>   MOVE 07 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO AMOUNTL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0018,5f210fa2a4035c2ee5a4eb21
AP00S00,,BISMSGO, IF WS-UNFORMATTED-AMOUNT > WS-MAXIMUM-AMOUNT CCP01OCR  <br>  MOVE 33 TO ERROR-SUB CCP01OCR  <br>  MOVE -1 TO AMOUNTL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0019,5f210fa2a4035c2ee5a4eb22
AP00S00,,BISMSGO, INSPECT CONSNEEI REPLACING ALL '_' BY LOW-VALUES. CCP01OCR ,Rule-0017,5f210fa2a4035c2ee5a4eb23
AP00S00,,BISMSGO, IF CONSNEEI = LOW-VALUES CCP01OCR  <br>  MOVE 10 TO ERROR-SUB CCP01OCR  <br>  MOVE -1 TO CONSNEEL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0020,5f210fa2a4035c2ee5a4eb24
AP00S00,,BISMSGO, INSPECT SHIPPERI REPLACING ALL '_' BY LOW-VALUES. CCP01OCR ,Rule-0017,5f210fa2a4035c2ee5a4eb25
AP00S00,,BISMSGO, IF SHIPPERI = LOW-VALUES CCP01OCR  <br>  MOVE 09 TO ERROR-SUB CCP01OCR  <br>  MOVE -1 TO SHIPPERL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0021,5f210fa2a4035c2ee5a4eb26
AP00S00,,BISMSGO, IF SHIPEAI = LOW-VALUES OR SHIPEAI = SPACES OR 07310002 <br> SHIPEAI = ZEROES  <br>  MOVE ZEROES TO SHIPEAO WS9-SHIPEA 07320002  <br>  ELSE  <br> ,Rule-0022,5f210fa2a4035c2ee5a4eb27
AP00S00,,BISMSGO, IF SHIPEAI IS NUMERIC  <br>  MOVE SHIPEAI TO WS9-SHIPEA  <br>  ELSE  <br>   MOVE 31 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO SHIPEAL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF  <br> ,Rule-0023,5f210fa2a4035c2ee5a4eb28
AP00S00,,BISMSGO, END-IF ,Rule-0022,5f210fa2a4035c2ee5a4eb29
AP00S00,,BISMSGO, IF CONSEAI = LOW-VALUES OR CONSEAI = SPACES OR <br> CONSEAI = ZEROES  <br>  MOVE ZEROES TO CONSEAO WS9-CONSEA 07320002  <br>  ELSE  <br> ,Rule-0024,5f210fa2a4035c2ee5a4eb2a
AP00S00,,BISMSGO, IF CONSEAI IS NUMERIC  <br>  MOVE CONSEAI TO WS9-CONSEA 07320002  <br>  ELSE  <br>   MOVE 40 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO CONSEAL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF  <br> ,Rule-0025,5f210fa2a4035c2ee5a4eb2b
AP00S00,,BISMSGO, END-IF ,Rule-0024,5f210fa2a4035c2ee5a4eb2c
AP00S00,,BISMSGO, IF PROI NOT = LOW-VALUES AND CCP01OCR <br> PROI NOT NUMERIC CCP01OCR  <br>  MOVE 11 TO ERROR-SUB CCP01OCR  <br>  MOVE -1 TO PROL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0026,5f210fa2a4035c2ee5a4eb2d
AP00S00,,BISMSGO, IF PROI = LOW-VALUES OR CCP01OCR <br> PROI = ZEROS CCP01OCR  <br>  MOVE 99999999 TO WS-PRO-NUM CCP01OCR  <br>  ELSE CCP01OCR  <br> ,Rule-0027,5f210fa2a4035c2ee5a4eb2e
AP00S00,,BISMSGO, IF PROI = 999999999 OR CCP01OCR <br> PROI = 99999999 CCP01OCR  <br>  MOVE PROI TO WS-PRO-NUM CCP01OCR  <br>  ELSE CCP01OCR  <br>   PERFORM 134-CHECK-FOR-LT500-CLAIM THRU CCP01OCR <br> 134-CHECK-FOR-LT500-CLAIM-EXIT CCP01OCR  <br>   PERFORM 125-CHECK-FOR-DUPE-PROS THRU 127-EXIT CCP01OCR  <br>   MOVE PROI TO WS-PRO-NUM CCP01OCR  <br>   END-IF CCP01OCR  <br> ,Rule-0028,5f210fa2a4035c2ee5a4eb2f
AP00S00,,BISMSGO, END-IF. CCP01OCR ,Rule-0027,5f210fa2a4035c2ee5a4eb30
AP00S00,,BISMSGO, IF PRODTEI NOT = LOW-VALUES CCP01OCR  <br>  MOVE PRODTEI TO WS-FORMATTED-DATE CCP01OCR  <br> ,Rule-0029,5f210fa2a4035c2ee5a4eb31
AP00S00,,BISMSGO, IF WS-FORMATTED-MM IS NUMERIC AND CCP01OCR <br> WS-FORMATTED-YY IS NUMERIC AND CCP01OCR <br> WS-FORMATTED-DD IS NUMERIC CCP01OCR  <br>  MOVE WS-FORMATTED-MM TO WS-UNFORMATTED-MM CCP01OCR  <br>  MOVE WS-FORMATTED-DD TO WS-UNFORMATTED-DD CCP01OCR  <br>   MOVE WS-FORMATTED-YY TO WS-UNFORMATTED-YY CCP01OCR  <br>   PERFORM 130-VALIDATE-DATE CCP01OCR  <br> ,Rule-0030,5f210fa2a4035c2ee5a4eb32
AP00S00,,BISMSGO, IF VALID-SO-FAR CCP01OCR  <br>  MOVE WS-UNFORMATTED-DATE TO WS-PRO-DATE CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 13 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO PRODTEL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   ELSE CCP01OCR  <br>   MOVE 13 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO PRODTEL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   ELSE CCP01OCR  <br>   MOVE 13 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO PRODTEL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND. CCP01OCR  <br> ,Rule-0031,5f210fa2a4035c2ee5a4eb33
AP00S00,,BISMSGO, IF CLMTYPI = 'D' OR 'L' CCP01OCR  <br>  NEXT SENTENCE CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 14 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO CLMTYPL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0032,5f210fa2a4035c2ee5a4eb34
AP00S00,,BISMSGO, IF CAUSCDI NUMERIC AND (CAUSCDI > '00' AND < '11') CCP01OCR  <br>  NEXT SENTENCE CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 32 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO CAUSCDL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0033,5f210fa2a4035c2ee5a4eb35
AP00S00,,BISMSGO, IF NMFC1I NOT = LOW-VALUES CCP01OCR ,Rule-0034,5f210fa2a4035c2ee5a4eb36
AP00S00,,BISMSGO, IF NMFC1I NUMERIC AND NMFC1I > ZERO CCP01OCR  <br>  NEXT SENTENCE CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 08 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO NMFC1L CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF CCP01OCR  <br> ,Rule-0035,5f210fa2a4035c2ee5a4eb37
AP00S00,,BISMSGO, END-IF. CCP01OCR ,Rule-0034,5f210fa2a4035c2ee5a4eb38
AP00S00,,BISMSGO, IF NMFC1A = DFHBMEOF CCP01OCR  <br>  MOVE 08 TO ERROR-SUB CCP01OCR  <br>  MOVE -1 TO NMFC1L CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0036,5f210fa2a4035c2ee5a4eb39
AP00S00,,BISMSGO, IF NMFC2I NOT = LOW-VALUES CCP01OCR ,Rule-0037,5f210fa2a4035c2ee5a4eb3a
AP00S00,,BISMSGO, IF NMFC2I NUMERIC CCP01OCR  <br>  NEXT SENTENCE CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 08 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO NMFC2L CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF CCP01OCR  <br> ,Rule-0038,5f210fa2a4035c2ee5a4eb3b
AP00S00,,BISMSGO, END-IF. CCP01OCR ,Rule-0037,5f210fa2a4035c2ee5a4eb3c
AP00S00,,BISMSGO, IF NMFC2A = DFHBMEOF CCP01OCR  <br>  MOVE 08 TO ERROR-SUB CCP01OCR  <br>  MOVE -1 TO NMFC2L CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0039,5f210fa2a4035c2ee5a4eb3d
AP00S00,,BISMSGO, IF PIECESI NOT = LOW-VALUES CCP01OCR ,Rule-0040,5f210fa2a4035c2ee5a4eb3e
AP00S00,,BISMSGO, IF PIECESI NUMERIC AND PIECESI > ZERO CCP01OCR  <br>  NEXT SENTENCE CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE '0000' TO PIECESI CCP01OCR  <br>   END-IF CCP01OCR  <br> ,Rule-0041,5f210fa2a4035c2ee5a4eb3f
AP00S00,,BISMSGO, END-IF. CCP01OCR ,Rule-0040,5f210fa2a4035c2ee5a4eb40
AP00S00,,BISMSGO, IF WEIGHTI NOT = LOW-VALUES CCP01OCR ,Rule-0042,5f210fa2a4035c2ee5a4eb41
AP00S00,,BISMSGO, IF WEIGHTI NUMERIC AND WEIGHTI > ZERO CCP01OCR  <br>  NEXT SENTENCE CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE '000000' TO WEIGHTI CCP01OCR  <br>   END-IF CCP01OCR  <br> ,Rule-0043,5f210fa2a4035c2ee5a4eb42
AP00S00,,BISMSGO, END-IF. CCP01OCR ,Rule-0042,5f210fa2a4035c2ee5a4eb43
AP00S00,,BISMSGO, IF OTERMI NOT = LOW-VALUES CCP01OCR  <br>  MOVE OTERMI TO WS-TERM-NO CCP01OCR  <br>  PERFORM 140-VALIDATE-TERMINAL THRU 140-EXIT CCP01OCR  <br> ,Rule-0044,5f210fa2a4035c2ee5a4eb44
AP00S00,,BISMSGO, IF VALID-TERMINAL CCP01OCR  <br>  MOVE WS-TERM-9 TO WS-OTERM CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 15 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO OTERML CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   ELSE CCP01OCR  <br> ,Rule-0045,5f210fa2a4035c2ee5a4eb45
AP00S00,,BISMSGO, IF PROI NOT = ZEROS CCP01OCR  <br>  MOVE 17 TO ERROR-SUB CCP01OCR  <br>  MOVE -1 TO OTERML CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND. CCP01OCR  <br> ,Rule-0046,5f210fa2a4035c2ee5a4eb46
AP00S00,,BISMSGO, IF DTERMI NOT = LOW-VALUES CCP01OCR  <br>  MOVE DTERMI TO WS-TERM-NO CCP01OCR  <br>  PERFORM 140-VALIDATE-TERMINAL THRU 140-EXIT CCP01OCR  <br> ,Rule-0047,5f210fa2a4035c2ee5a4eb47
AP00S00,,BISMSGO, IF VALID-TERMINAL CCP01OCR  <br>  MOVE WS-TERM-9 TO WS-DTERM CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 16 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO DTERML CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   ELSE CCP01OCR  <br> ,Rule-0048,5f210fa2a4035c2ee5a4eb48
AP00S00,,BISMSGO, IF PROI NOT = ZEROS CCP01OCR  <br>  MOVE 17 TO ERROR-SUB CCP01OCR  <br>  MOVE -1 TO DTERML CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND. CCP01OCR  <br>   PERFORM 135-VALIDATE-COMMODITY. CCP01OCR <br> CCP01OCR  <br> ,Rule-0049,5f210fa2a4035c2ee5a4eb49
AP00S00,,BISMSGO, IF INVVALI NOT = LOW-VALUES CCP01OCR ,Rule-0050,5f210fa2a4035c2ee5a4eb4a
AP00S00,,BISMSGO, IF INVVALI NUMERIC CCP01OCR  <br>  MOVE INVVALI TO WS-INVOICE-VALUE INVVALO CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 02 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO INVVALL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   ELSE CCP01OCR  <br>   MOVE ZEROS TO WS-INVOICE-VALUE. CCP01OCR  <br> ,Rule-0051,5f210fa2a4035c2ee5a4eb4b
AP00S00,,BISMSGO, IF WEIGHTI NOT = LOW-VALUES CCP01OCR ,Rule-0052,5f210fa2a4035c2ee5a4eb4c
AP00S00,,BISMSGO, IF WEIGHTI NUMERIC CCP01OCR  <br>  MOVE WEIGHTI TO WS-WEIGHT CCP01OCR <br> CCP01OCR  <br> ,Rule-0053,5f210fa2a4035c2ee5a4eb4d
AP00S00,,BISMSGO, IF WS-INVOICE-VALUE IS NUMERIC CCP01OCR <br> AND WS-INVOICE-VALUE > ZERO CCP01OCR <br> AND WS-WEIGHT-ACCUM > ZERO CCP01OCR  <br>  COMPUTE WS-VALUE-PER-LB = CCP01OCR <br> WS-INVOICE-VALUE / WS-WEIGHT-ACCUM CCP01OCR  <br>  MOVE WS-VALUE-PER-LB TO LBVALO CCP01OCR  <br>   ELSE CCP01OCR  <br>   MOVE ZEROS TO LBVALO. CCP01OCR  <br> ,Rule-0054,5f210fa2a4035c2ee5a4eb4e
AP00S00,,BISMSGO, IF SHPREVI NOT = LOW-VALUES CCP01OCR ,Rule-0055,5f210fa2a4035c2ee5a4eb4f
AP00S00,,BISMSGO, IF SHPREVI NUMERIC CCP01OCR  <br>  MOVE SHPREVI TO WS-SHIPMENT-REVENUE CCP01OCR <br> SHPREVO CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 03 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO SHPREVL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   ELSE CCP01OCR  <br>   MOVE ZEROS TO WS-SHIPMENT-REVENUE. CCP01OCR  <br>   INSPECT CLAIMNTI REPLACING ALL '_' BY LOW-VALUES. CCP01OCR  <br> ,Rule-0056,5f210fa2a4035c2ee5a4eb50
AP00S00,,BISMSGO, IF CLAIMNTI NOT = LOW-VALUES CCP01OCR  <br>  NEXT SENTENCE CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 22 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO CLAIMNTL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0057,5f210fa2a4035c2ee5a4eb51
AP00S00,,BISMSGO, MOVE CLAIMNTI TO WS-FOUR-CHAR. CCP01OCR ,Rule-0056,5f210fa2a4035c2ee5a4eb52
AP00S00,,BISMSGO, IF (FOUR-CHAR > SPACES AND CCP01OCR <br> (THE-REST = SPACES OR THE-REST = LOW-VALUES)) CCP01OCR <br> CCP01OCR  <br>  PERFORM 190-REPLACE-WITH-SPACES CCP01OCR <br> VARYING WS-SUB FROM 4 BY -1 CCP01OCR <br> UNTIL WS-SUB < 2 CCP01OCR  <br>  MOVE '1' TO COMP-CODE OF DCLCCL-CLMT-ACRN  <br> ,Rule-0058,5f210fa2a4035c2ee5a4eb53
AP00S00,,BISMSGO, IF WS-COMM-OPTION-NUMBER = '23' ,Rule-0059,5f210fa2a4035c2ee5a4eb54
AP00S00,,BISMSGO, IF ONBASEI = 'Y'  <br>  MOVE SPACES TO ONBASEO  <br>  MOVE DFHP-ASKIP-MDT TO ONBASEA  <br>   PERFORM 150-CLEAR-CLAIM-RECORD CCP01OCR  <br>   PERFORM 170-CLEAR-TRAN-HIST-RECORD CCP01OCR  <br>   PERFORM 210-MOVE-CLAIM-INFORMATION CCP01OCR  <br>   PERFORM 220-WRITE-CLAIM-RECORD CCP01OCR  <br>   PERFORM 260-WRITE-TRAN-HIST-RECORD CCP01OCR  <br>   PERFORM 270-CONFIRM-SETUP-TO-USER CCP01OCR  <br>   ELSE  <br>   PERFORM 265-CONFIRM-ONBASE-UPDATE  <br>   END-IF  <br> ,Rule-0060,5f210fa2a4035c2ee5a4eb55
AP00S00,,BISMSGO, ELSE  <br>  PERFORM 150-CLEAR-CLAIM-RECORD CCP01OCR  <br>  PERFORM 170-CLEAR-TRAN-HIST-RECORD CCP01OCR  <br>   PERFORM 210-MOVE-CLAIM-INFORMATION CCP01OCR  <br>   PERFORM 220-WRITE-CLAIM-RECORD CCP01OCR  <br>   PERFORM 260-WRITE-TRAN-HIST-RECORD CCP01OCR  <br>   PERFORM 270-CONFIRM-SETUP-TO-USER CCP01OCR  <br>   END-IF.  <br> ,Rule-0059,5f210fa2a4035c2ee5a4eb56
