LOB,File Name,File Path,Function Name,No of Parameters,Function Type,rule_id,rule_statement,parent_rule_id
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-10,"['            If oLobData.Attributes.Common.OneNDoneInd.CL_EqualsYesAbbreviation AndAlso oLobData.Attributes.Common.OneNDoneType.Equals(ONE_N_DONE_LESSOR_RISK_ONLY) AndAlso oLobData.Attributes.Common.UserType.Equals(USER_TYPE_AGENT) Then\n', '                oLobLoc.Input(""PfBldgAgrdVal"").Value = frameworkStatus.NO_ABBREVIATED\n', '\nEnd If']",rule-10
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-11,"['            If (oLobData.Attributes(""PFQuikRateVals"").Trim().Length() > 0) AndAlso (oLobLoc.Input(""PfBldgLim"").Value.Trim().Length.Equals(0)) Then\n', '                aQRValues.AddRange(oLobData.Attributes(""PFQuikRateVals"").Split(""&""c))\n', '                oLobLoc.Input(""PfBldgValuation"").Value = ""1""   \' Valuation defaults to Replacement Cost\n', '                oLobLoc.Input(""PfBldgClass"").Value = aQRValues(0).ToString()             \' Class code\n']",rule-11
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-12,"['                If oLobLoc.Input(""PfBgiRateTyp"").Value <> ""5"" Then\n', '                    oLobLoc.Input(""PfBldgClass"").Value = """"\n', '                End If\n']","rule-11,rule-12"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-13,"['                If New HashSet(Of String)() From {{common.getStateCode(NewYork)}, {common.getStateCode(SouthCarolina)}}.Contains(oLobLoc.Input(""PfLocSt"").Value.Trim).Equals(False) Then\n', '                    oLobLoc.Input(""PfOccupSymbol"").Value = String.Empty\n']","rule-11,rule-13"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-14,"['                ElseIf oLobLoc.Input(""PfLocSt"").Value.Equals(common.getStateCode(NewYork)) AndAlso String.IsNullOrWhiteSpace(oLobLoc.Input(""PfOccupSymbol"").Value) Then\n']","rule-11,rule-14"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-15,"['                    If New HashSet(Of String)() From {{OCCUPATIONAL_SYMBOL_A}, {OCCUPATIONAL_SYMBOL_AB}, {OCCUPATIONAL_SYMBOL_B}}.Contains(oLobLoc.Input(""PfBgiiSym"").Value.Trim).Equals(True) Then\n', '                        oLobLoc.Input(""PfOccupSymbol"").Value = OCCUPATIONAL_SYMBOL_A_WITH_SPACE\n']","rule-11,rule-14,rule-15"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-16,"['                    ElseIf New HashSet(Of String)() From {{OCCUPATIONAL_SYMBOL_C}, {OCCUPATIONAL_SYMBOL_CD}, {OCCUPATIONAL_SYMBOL_D}}.Contains(oLobLoc.Input(""PfBgiiSym"").Value.Trim).Equals(True) Then\n', '                        oLobLoc.Input(""PfOccupSymbol"").Value = OCCUPATIONAL_SYMBOL_F_WITH_SPACE\n', '                    End If\n']","rule-11,rule-14,rule-16"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,,['                End If\n'],"rule-11,rule-14"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,,['\nEnd If'],rule-11
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-17,['            If oLobData.Attributes.Common.OneNDoneInd.CL_EqualsYesAbbreviation Then\n'],rule-17
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-18,"['                If String.IsNullOrWhiteSpace(oLobLoc.Input(""PfBldgValuation"").Value) Then oLobLoc.Input(""PfBldgValuation"").Value = ""1""\n']","rule-17,rule-18"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-19,['                If sLocSt.Equals(common.getStateCode(SouthCarolina)) Then\n'],"rule-17,rule-18,rule-19"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-20,"['                    If String.IsNullOrWhiteSpace(oLobLoc.Input(""PfOccupSymbol"").Value) Then oLobLoc.Input(""PfOccupSymbol"").Value = ""A""\n', '                End If\n']","rule-17,rule-18,rule-19,rule-20"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-21,"['                If (oLobData.Attributes.Common.OneNDoneType = ""LR"") Then\n']","rule-17,rule-18,rule-19,rule-21"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-22,"['                    If (Val(oLobLoc.Input(""PfBldgClass"").Value) = 0) Then\n', '                        oLobLoc.Input(""PfBldgClass"").Value = _\n', '                            SetClassByGLCode(oLobData.Attributes.Common.QuotePolicyNumber, _\n', '                               oLobData.Attributes(""InstanceId""), _\n', '                               oLobData.Attributes.Common.OneNDoneType)\n', '                    End If\n']","rule-17,rule-18,rule-19,rule-21,rule-22"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,,['                End If\n'],"rule-17,rule-18,rule-19,rule-21"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,,['\nEnd If'],"rule-17,rule-18,rule-19"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-23,"['            If String.IsNullOrWhiteSpace(oLobLoc.Input(""PfBldgCol"").Value) Then\n']","rule-17,rule-18,rule-23"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-24,"['                Select Case (oLobData.Policy.Input(""PfPolcol"").Value).Trim()\n']","rule-17,rule-18,rule-23,rule-24"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-25,"['                    Case ""1""\n', '                        oLobLoc.Input(""PfBldgCol"").Value = ""1""\n']","rule-17,rule-18,rule-23,rule-24,rule-25"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-26,"['                    Case ""2""\n', '                        oLobLoc.Input(""PfBldgCol"").Value = ""2""\n']","rule-17,rule-18,rule-23,rule-24,rule-26"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-27,"['                    Case ""3""\n', '                        oLobLoc.Input(""PfBldgCol"").Value = ""3""\n']","rule-17,rule-18,rule-23,rule-24,rule-27"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-28,"['                    Case ""4""\n', '                        oLobLoc.Input(""PfBldgCol"").Value = ""6""\n']","rule-17,rule-18,rule-23,rule-24,rule-28"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-29,"['                    Case ""5""\n', '                        oLobLoc.Input(""PfBldgCol"").Value = ""7""\n']","rule-17,rule-18,rule-23,rule-24,rule-29"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-30,"['                    Case ""6""\n', '                        oLobLoc.Input(""PfBldgCol"").Value = ""8""\n']","rule-17,rule-18,rule-23,rule-24,rule-30"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-31,"['                    Case ""7""\n', '                        oLobLoc.Input(""PfBldgCol"").Value = ""4""\n']","rule-17,rule-18,rule-23,rule-24,rule-31"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-32,"['                    Case ""8""\n', '                        oLobLoc.Input(""PfBldgCol"").Value = ""5""\n']","rule-17,rule-18,rule-23,rule-24,rule-32"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-33,"['                    Case ""9""\n', '                        oLobLoc.Input(""PfBldgCol"").Value = ""9""\n']","rule-17,rule-18,rule-23,rule-24,rule-33"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-34,"['                    Case ""10""\n', '                        oLobLoc.Input(""PfBldgCol"").Value = ""10""\n', '                End Select\n']","rule-17,rule-18,rule-23,rule-24,rule-34"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,,['\nEnd If'],"rule-17,rule-18,rule-23"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-35,"['            If oLobData.Policy.Input(""PfCopRate"").Value.CL_EqualsYesAbbreviation Then\n', '                oLobLoc.Input(""PfBldgValuation"").Value = ""1""\n', '\nEnd If']","rule-17,rule-18,rule-35"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,,"['                And String.IsNullOrWhiteSpace(oLobLoc.Input(""PfBldgValuation"").Value) Then\n', '                oLobLoc.Input(""PfBldgValuation"").Value = ""1""\n', '            End If\n']","rule-17,rule-18"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,,['\nEnd If'],rule-17
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-36,"['            If InStr(1, ""*NY*SC*"", sLocSt) = 0 Then\n', '                oLobLoc.Input(""PfOccupSymbol"").Value = """"\n', '\nEnd If']",rule-36
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-37,"['                If InStr(1, ""*A*AB*B*"", sBGIISym) > 0 Then\n', '                    oLobLoc.Input(""PfOccupSymbol"").Value = ""A    ""\n', '\nEnd If']",rule-37
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-38,"['            If (oLobData.Attributes.Common.OneNDoneInd.CL_EqualsYesAbbreviation) Then\n', '                If (oLobLoc.Input(""PfBldgClass"").Value.Trim.Equals(""0702"")) Then\n', '                    If (oLobLoc.StateCode.Equals(stateCodeDistrictOfColumbia) AndAlso iso2012DEDCFlag.Equals(False)) Then\n']",rule-38
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-39,"['                        If (oLobLoc.Input(""PfBldgBg1Rg"").Value.Trim.Equals(BASIC_GROUP_RATE_1B) = False) Then\n', '                            oLobLoc.Input(""PfBldgBg1Rg"").Value = BASIC_GROUP_RATE_1B\n', '                        End If\n']","rule-38,rule-39"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,,"['                    End If\n', '                ElseIf (oLobLoc.Input(""PfBldgClass"").Value.Trim.Equals(""0567"")) Then\n']",rule-38
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,,"['                    End If\n', '                ElseIf (oLobLoc.Input(""PfBldgClass"").Value.Trim.Equals(""0567"")) Then\n']",
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,ValidateBldBic,2,PF,rule-1,"['            If oLobLoc.Input(""PfBldgVac"").Value = ""Y"" And Trim(oLobLoc.Input(""PfBincCol"").Value) <> """" Then\n', '                oValidationResults.Add(""Vacant buildings not valid with Business Income coverage."", """", ErrorCollection.ErrorSeverity.Warning)\n', '\nEnd If']",rule-1
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,ValidateBldBic,2,PF,rule-2,"['            If oLobLoc.Input(""PfBldgVac"").Value = ""Y"" And Trim(oLobLoc.Input(""PfTuitClassCd"").Value) <> """" Then\n', '                oValidationResults.Add(""Vacant buildings not valid with Tuition coverage."", """", ErrorCollection.ErrorSeverity.Warning)\n', '\nEnd If']",rule-2
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,ValidateBldBic,2,PF,rule-3,"['            If oLobLoc.Input(""PfBldgVac"").Value = ""Y"" And Trim(oLobLoc.Input(""PfExxpLim"").Value) <> """" Then\n', '                oValidationResults.Add(""Vacant buildings not valid with Extra Expense coverage."", """", ErrorCollection.ErrorSeverity.Warning)\n', '\nEnd If']",rule-3
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,DeleteData,1,,rule-4,"['                If String.IsNullOrWhiteSpace(.Fields(""PfPMLocStatus"").Value) Then\n', '                    .Fields(""PfBldgRateVal"").Value = String.Empty\n', '                    .Fields(""PfBldgBgiiRate"").Value = String.Empty\n', '\nEnd If']",rule-4
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,DeleteData,1,,rule-5,"['                If String.IsNullOrWhiteSpace(.Fields(""PfBldgTotDfPt"").Value) = False Then\n', '                    .Fields(""PfBldgDstrExpo"").Value = String.Empty\n', '                    .Fields(""PfBldgClimHaz"").Value = String.Empty\n', '                    .Fields(""PfBldgSpecHoc"").Value = String.Empty\n', '                    .Fields(""PfBldgPrivProt"").Value = String.Empty\n', '                    .Fields(""PfBldgPubProt"").Value = String.Empty\n', '                    .Fields(""PfBldgExtExpo"").Value = String.Empty\n', '                    .Fields(""PfBldgConst"").Value = String.Empty\n', '                    .Fields(""PfBldgCombSus"").Value = String.Empty\n', '                    .Fields(""PfBldgAosi"").Value = String.Empty\n', '                    .Fields(""PfBldgTransFlt"").Value = String.Empty\n', '                    .Fields(""PfBldgWatSew"").Value = String.Empty\n', '                    .Fields(""PfBldgErthMov"").Value = String.Empty\n', '                    .Fields(""PfBldgLowDed"").Value = String.Empty\n', '                    .Fields(""PfBldgSusBus"").Value = String.Empty\n', '                    .Fields(""PfBldgTotDfPt"").Value = String.Empty\n', '                    .Fields(""PfCopBldgDef"").Value = ""N""\n', '\nEnd If']",rule-5
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,DeleteData,1,,rule-6,"['                If .Fields(""PFLOIEffectiveInd"").Value.Equals(""Y"") AndAlso String.IsNullOrWhiteSpace(.Fields(""PFBDBG1CAPIND"").Value) = False Then\n', '                    .Fields(""PFBDBG1CAPIND"").Value = ""N""\n', '                    .Fields(""PFBDBG2CAPIND"").Value = ""N""\n', '                    .Fields(""PFBDCOLCAPIND"").Value = ""N""\n', '                    .Fields(""PFDMBG1CAPIND"").Value = ""N""\n', '                    .Fields(""PFDMBG2CAPIND"").Value = ""N""\n', '                    .Fields(""PFDMCOLCAPIND"").Value = ""N""\n', '                    .Fields(""PFICBG1CAPIND"").Value = ""N""\n', '                    .Fields(""PFICBG2CAPIND"").Value = ""N""\n', '                    .Fields(""PFICCOLCAPIND"").Value = ""N""\n', '\nEnd If']",rule-6
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,rule-7,['            If lRoCheck Then\n'],rule-7
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,rule-8,"['                If ((GrgJul(effDateForLROpolicies) >= SUMMIT_LRO_EFFECTIVE_DATE) OrElse (lROTransType.Equals(""PCNM"") AndAlso GrgJul(TransactioneffDateforLROPolcies) >= SUMMIT_LRO_EFFECTIVE_DATE)) Then\n', '                    oLobLoc(""PfBldgAgrdVal"").Value = ""N""\n']","rule-7,rule-8"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,rule-9,"['                ElseIf GrgJul(effDateForLROpolicies) < SUMMIT_LRO_EFFECTIVE_DATE Then\n', '                    oLobLoc(""PfBldgAgrdVal"").Value = ""Y""\n', '                End If\n']","rule-7,rule-9"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,,['\nEnd If'],rule-7
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,ValidateBldBic,2,PF,rule-1,"['            If oLobLoc.Input(""PfBldgVac"").Value = ""Y"" And Trim(oLobLoc.Input(""PfBincCol"").Value) <> """" Then\n', '                oValidationResults.Add(""Vacant buildings not valid with Business Income coverage."", """", ErrorCollection.ErrorSeverity.Warning)\n', '\nEnd If']",rule-1
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,ValidateBldBic,2,PF,rule-2,"['            If oLobLoc.Input(""PfBldgVac"").Value = ""Y"" And Trim(oLobLoc.Input(""PfTuitClassCd"").Value) <> """" Then\n', '                oValidationResults.Add(""Vacant buildings not valid with Tuition coverage."", """", ErrorCollection.ErrorSeverity.Warning)\n', '\nEnd If']",rule-2
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,ValidateBldBic,2,PF,rule-3,"['            If oLobLoc.Input(""PfBldgVac"").Value = ""Y"" And Trim(oLobLoc.Input(""PfExxpLim"").Value) <> """" Then\n', '                oValidationResults.Add(""Vacant buildings not valid with Extra Expense coverage."", """", ErrorCollection.ErrorSeverity.Warning)\n', '\nEnd If']",rule-3
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,DeleteData,1,,rule-4,"['                If String.IsNullOrWhiteSpace(.Fields(""PfPMLocStatus"").Value) Then\n', '                    .Fields(""PfBldgRateVal"").Value = String.Empty\n', '                    .Fields(""PfBldgBgiiRate"").Value = String.Empty\n', '\nEnd If']",rule-4
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,DeleteData,1,,rule-5,"['                If String.IsNullOrWhiteSpace(.Fields(""PfBldgTotDfPt"").Value) = False Then\n', '                    .Fields(""PfBldgDstrExpo"").Value = String.Empty\n', '                    .Fields(""PfBldgClimHaz"").Value = String.Empty\n', '                    .Fields(""PfBldgSpecHoc"").Value = String.Empty\n', '                    .Fields(""PfBldgPrivProt"").Value = String.Empty\n', '                    .Fields(""PfBldgPubProt"").Value = String.Empty\n', '                    .Fields(""PfBldgExtExpo"").Value = String.Empty\n', '                    .Fields(""PfBldgConst"").Value = String.Empty\n', '                    .Fields(""PfBldgCombSus"").Value = String.Empty\n', '                    .Fields(""PfBldgAosi"").Value = String.Empty\n', '                    .Fields(""PfBldgTransFlt"").Value = String.Empty\n', '                    .Fields(""PfBldgWatSew"").Value = String.Empty\n', '                    .Fields(""PfBldgErthMov"").Value = String.Empty\n', '                    .Fields(""PfBldgLowDed"").Value = String.Empty\n', '                    .Fields(""PfBldgSusBus"").Value = String.Empty\n', '                    .Fields(""PfBldgTotDfPt"").Value = String.Empty\n', '                    .Fields(""PfCopBldgDef"").Value = ""N""\n', '\nEnd If']",rule-5
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,DeleteData,1,,rule-6,"['                If .Fields(""PFLOIEffectiveInd"").Value.Equals(""Y"") AndAlso String.IsNullOrWhiteSpace(.Fields(""PFBDBG1CAPIND"").Value) = False Then\n', '                    .Fields(""PFBDBG1CAPIND"").Value = ""N""\n', '                    .Fields(""PFBDBG2CAPIND"").Value = ""N""\n', '                    .Fields(""PFBDCOLCAPIND"").Value = ""N""\n', '                    .Fields(""PFDMBG1CAPIND"").Value = ""N""\n', '                    .Fields(""PFDMBG2CAPIND"").Value = ""N""\n', '                    .Fields(""PFDMCOLCAPIND"").Value = ""N""\n', '                    .Fields(""PFICBG1CAPIND"").Value = ""N""\n', '                    .Fields(""PFICBG2CAPIND"").Value = ""N""\n', '                    .Fields(""PFICCOLCAPIND"").Value = ""N""\n', '\nEnd If']",rule-6
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,rule-7,['            If lRoCheck Then\n'],rule-7
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,rule-8,"['                If ((GrgJul(effDateForLROpolicies) >= SUMMIT_LRO_EFFECTIVE_DATE) OrElse (lROTransType.Equals(""PCNM"") AndAlso GrgJul(TransactioneffDateforLROPolcies) >= SUMMIT_LRO_EFFECTIVE_DATE)) Then\n', '                    oLobLoc(""PfBldgAgrdVal"").Value = ""N""\n']","rule-7,rule-8"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,rule-9,"['                ElseIf GrgJul(effDateForLROpolicies) < SUMMIT_LRO_EFFECTIVE_DATE Then\n', '                    oLobLoc(""PfBldgAgrdVal"").Value = ""Y""\n', '                End If\n']","rule-7,rule-9"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,,['\nEnd If'],rule-7
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,SetDefaultValues,2,,rule-10,"['            If oLobData.Attributes.Common.OneNDoneInd.CL_EqualsYesAbbreviation AndAlso oLobData.Attributes.Common.OneNDoneType.Equals(ONE_N_DONE_LESSOR_RISK_ONLY) AndAlso oLobData.Attributes.Common.UserType.Equals(USER_TYPE_AGENT) Then\n', '                oLobLoc.Input(""PfBldgAgrdVal"").Value = frameworkStatus.NO_ABBREVIATED\n', '\nEnd If']",rule-10
